tournament_id,year,team,wc_ppg,wc_matches,cont_ppg,cont_n,comp_ppg,pre_elo
WC-2010,2010,Paraguay,1.2,5,1.5,4,1.6428571428571428,1802.706122812651
WC-2010,2010,England,1.25,4,,0,2.7,2023.3279608358564
WC-2010,2010,Honduras,0.3333333333333333,3,1.8,5,1.8518518518518519,1785.0957367058513
WC-2010,2010,Mexico,1.0,4,2.3333333333333335,6,2.0416666666666665,1967.8610032827166
WC-2010,2010,Italy,0.6666666666666666,3,1.25,4,2.0,1955.9821456276268
WC-2010,2010,Slovakia,1.0,4,,0,1.8333333333333333,1689.23481567673
WC-2010,2010,United States,1.5,4,2.1666666666666665,6,2.0689655172413794,1846.0722155665478
WC-2010,2010,North Korea,0.0,3,,0,1.76,1628.3684329644886
WC-2010,2010,Cameroon,0.0,3,1.0,4,1.9285714285714286,1784.5502727622302
WC-2014,2014,Croatia,1.0,3,1.3333333333333333,3,1.5714285714285714,1844.8713688206242
WC-2014,2014,Netherlands,2.4285714285714284,7,0.0,3,2.3333333333333335,2013.6373403226366
WC-2014,2014,Japan,0.3333333333333333,3,2.3333333333333335,6,1.3846153846153846,1848.953135498679
WC-2014,2014,Ivory Coast,1.0,3,1.75,4,2.25,1870.1379151244464
WC-2014,2014,Ecuador,1.3333333333333333,3,0.3333333333333333,3,1.4545454545454546,1883.5835656160698
WC-2014,2014,Australia,0.0,3,2.1666666666666665,6,1.6428571428571428,1795.0398990300503
WC-2014,2014,Brazil,1.5714285714285714,7,1.5,4,2.5714285714285716,2182.308998891731
WC-2014,2014,Bosnia and Herzegovina,1.0,3,,0,2.5,1819.86794397702
WC-2014,2014,Argentina,2.142857142857143,7,1.5,4,1.9230769230769231,2057.370502550825
WC-2014,2014,South Korea,0.3333333333333333,3,2.3333333333333335,6,1.3,1751.573444445807
WC-2014,2014,Nigeria,1.0,4,2.3333333333333335,6,2.111111111111111,1814.4859505207864
WC-2014,2014,Algeria,1.25,4,0.3333333333333333,3,2.0833333333333335,1712.00039722653
WC-2014,2014,Iran,0.3333333333333333,3,2.25,4,2.125,1810.878604317418
